# Node_ID, IP_address, Location 
01, 192.168.1.2, PC1-A
02, 192.168.1.3, PC2-A 
03, 192.168.1.4, PC3-A 
04, 192.168.1.5, PC4-A 
05, 192.168.2.2, PC1-B
06, 192.168.2.3, PC2-B 
07, 192.168.2.4, PC3-B
08, 192.168.2.4, PC4-B
09, 192.168.3.2, PC1-C
10, 192.168.3.3, PC2-C
11, 192.168.3.4, PC3-C
12, 192.168.3.5, PC4-C
13, 192.168.3.6, PC5-C
14, 192.168.3.7, PC6-C
15, 192.168.4.2, PC1-D
16, 192.168.4.3, PC2-D
17, 192.168.4.4, PC3-D
18, 192.168.4.5, PC4-D
19, 192.168.5.2, PC1-E
20, 192.168.5.3, PC2-E
21, 192.168.5.4, PC3-E
22, 192.168.5.5, PC4-E
23, 192.168.6.2, PC1-F
24, 192.168.6.3, PC2-F
25, 192.268.6.4, PC3-F
26, 192.168.6.4, PC4-F
